"Informazioni cronologiche","user","level","game","datetime","event_name","value_0","value_1","value_2","value_3","value_4","value_5"
"2020/12/06 10:48:44 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:48:43","InkFinished","Construction","","","","",""
"2020/12/06 10:48:44 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:48:43","InkFinished","Damage","","","","",""
"2020/12/06 10:48:44 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:48:43","InkFinished","Climb","","","","",""
"2020/12/06 10:49:10 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:49:09","PlayerDeath","44,75882","-4,834416","","","",""
"2020/12/06 10:49:11 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:49:10","InkFinished","Construction","","","","",""
"2020/12/06 10:49:11 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:49:10","InkFinished","Damage","","","","",""
"2020/12/06 10:49:13 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:49:10","InkFinished","Climb","","","","",""
"2020/12/06 10:49:30 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:49:30","PlayerDeath","30,84753","-5,091301","","","",""
"2020/12/06 10:49:31 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:49:31","InkFinished","Construction","","","","",""
"2020/12/06 10:49:31 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:49:31","InkFinished","Damage","","","","",""
"2020/12/06 10:49:31 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:49:31","InkFinished","Climb","","","","",""
"2020/12/06 10:49:50 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:49:50","PlayerDeath","23,0787","-4,78748","","","",""
"2020/12/06 10:49:51 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:49:51","InkFinished","Damage","","","","",""
"2020/12/06 10:49:51 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:49:51","InkFinished","Climb","","","","",""
"2020/12/06 10:49:51 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:49:51","InkFinished","Construction","","","","",""
"2020/12/06 10:50:15 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:50:15","CheckpointTime","1","2","188","","",""
